"Station code","STATION NAME","DIVISION","ZONE","Section","CMI","DEN","Sr.DEN","Categorisation","Earnings range","Passenger range","Passenger footfall","Platforms","Number of Platforms","Platform Type","Parking","Pay-and-Use","NO OF tRAINS DEALT","TKTS PER DAY","PASS PER DAY","EARNINGS PER DAY","FOOTFALLS PER DAY",""
"KSM","Kamasamudram","SBC","SWR","BWT Section","R Murali","East","Subham Sharma","HG-1","upto05Lakhs","upto01Lakhs","73451","1, 2","2","HL","","","","158","574","8186","834",""
"BEML","BEML Nagar H ALT","SBC","SWR","BWT Section","R Murali","East","Subham Sharma","HG-2","05to50Lakhs","01to03Lakhs","10371","","1","HL","","","","16","19","320","71",""
"BLRR","Belandur Road","SBC","SWR","BNC WFD Section","Sumanth","South","Vikram gahanloiya","HG-2","05to50Lakhs","01to03Lakhs","43468","","1","HL","","","","548","994","313502","2145",""
"BNKH","Bhairanayakanahalli H","SBC","SWR","TK Section","Praveen","North","Harshit Gupta","HG-2","05to50Lakhs","01to03Lakhs","11790","1, 2","2","HL","","","","1094","2003","118181","3618",""
"CNKH","Chinnakote halt","SBC","SWR","BWT Section","R Murali","South","Vikram gahanloiya","HG-2","upto05Lakhs","upto01Lakhs","12003","","1","ML","","","","139","222","3036","368",""
"DBS","Dobbspet H","SBC","SWR","TK Section","Praveen","North","Harshit Gupta","HG-2","05to50Lakhs","01to03Lakhs","15979","1, 2","2","HL","","","","50","90","736","231",""
"GNB","Jnana Bharati","SBC","SWR","MYS Section","Shashidhar","West","Sanchit Srivatsava","HG-2","#N/A","#N/A","4471","","","#N/A","","","","143","312","21988","584",""
"HDIH","HOODI HALT","SBC","SWR","BNC WFD Section","Sumanth","East","Subham Sharma","HG-2","05to50Lakhs","01to03Lakhs","32471","1, 2","2","HL","","","","719","1799","89462","3588",""
"HEI","Heggere H","SBC","SWR","TK Section","Praveen","North","Harshit Gupta","HG-2","upto05Lakhs","upto01Lakhs","4972","","1","HL","","","","191","275","7102","1505",""
"KDGH","Kodigehalli","SBC","SWR","YNK-KQZ","Ghouse Khan","South","Vikram gahanloiya","HG-2","05to50Lakhs","01to03Lakhs","9421","1, 2","2","HL","","","","2477","5132","1337062","15389",""
"KNDV","Krishnadevaraya Halt","SBC","SWR","MYS Section","Shashidhar","West","Sanchit Srivatsava","HG-2","05to50Lakhs","01to03Lakhs","16746","1, 2","2","HL","","","","846","1684","42378","3922",""
"MDLL","Muddalinganahalli H","SBC","SWR","TK Section","Praveen","North","Harshit Gupta","HG-2","05to50Lakhs","01to03Lakhs","27142","1, 2","2","HL","","","","85","253","1447","344",""
"MPC","MutTampatti HALT","SBC","SWR","SA Section","Abbas","South","Vikram gahanloiya","HG-2","05to50Lakhs","01to03Lakhs","1657","","1","HL","","","","107","367","3712","453",""
"SDVL","Soldevanahalli H","SBC","SWR","TK Section","Praveen","North","Harshit Gupta","HG-2","05to50Lakhs","01to03Lakhs","15209","","3","HL","","","","10","15","531","19",""
"SMDT","SEMMANDAPATTI H","SBC","SWR","SA Section","Abbas","South","Vikram gahanloiya","HG-2","upto05Lakhs","upto01Lakhs","1230","","1","HL","","","","4469","15418","480767","23990",""
"VWA","viduraswattha","SBC","SWR","HUP Section","G Kiran Kumar","North","Harshit Gupta","HG-2","upto05Lakhs","upto01Lakhs","6998","1, 2","2","HL","","","","923","1835","46219","4894",""
"AVT","Avatihalli","SBC","SWR","YNK-KQZ","Ghouse Khan","South","Vikram gahanloiya","HG-3","upto05Lakhs","upto01Lakhs","3818","","1","RL","","","","199","700","8699","1091",""
"BFW","Byatrayanahalli","SBC","SWR","BWT Section","R Murali","East","Subham Sharma","HG-3","upto05Lakhs","upto01Lakhs","7092","1, 2","2","HL","","","","548","2139","25233","2411",""
"CPL","Chakarlapalli","SBC","SWR","HUP Section","G Kiran Kumar","North","Harshit Gupta","HG-3","upto05Lakhs","upto01Lakhs","228","","","#N/A","","","","97","257","5709","426",""
"DJL","Doddajala","SBC","SWR","YNK-KQZ","Ghouse Khan","South","Vikram gahanloiya","HG-3","upto05Lakhs","upto01Lakhs","1103","","1","RL","","","","148","369","3616","403",""
"DNU","DALASANUR HALT","SBC","SWR","YNK-KQZ","Ghouse Khan","East","Subham Sharma","HG-3","upto05Lakhs","upto01Lakhs","338","","1","ML","","","","272","449","29260","1034",""
"DTT","DODAANATTA HALT","SBC","SWR","YNK-KQZ","Ghouse Khan","East","Subham Sharma","HG-3","upto05Lakhs","upto01Lakhs","554","","1","ML","","","","450","2407","23030","2760",""
"GDH","gidanahalli halt","SBC","SWR","YNK-KQZ","Ghouse Khan","North","Harshit Gupta","HG-3","upto05Lakhs","upto01Lakhs","222","","1","ML","","","","0","0","0","7",""
"GJT","JANNAGATTA HALT","SBC","SWR","YNK-KQZ","Ghouse Khan","East","Subham Sharma","HG-3","upto05Lakhs","upto01Lakhs","469","","1","ML","","","","1704","8466","133442","11972",""
"HUD","Hudukula Halt","SBC","SWR","BWT Section","R Murali","East","Vikram gahanloiya","HG-3","upto05Lakhs","upto01Lakhs","400","","","ML","","","","869","1608","344249","3115",""
"HUN","HUNSENAHALLI HALT","SBC","SWR","YNK-KQZ","Ghouse Khan","North","Harshit Gupta","HG-3","upto05Lakhs","upto01Lakhs","672","","1","ML","","","","0","1","18","8",""
"KHLL","Ketohalli H","SBC","SWR","MYS Section","Shashidhar","West","Sanchit Srivatsava","HG-3","upto05Lakhs","upto01Lakhs","1125","1, 2","2","HL","","","","152","979","5397","1245",""
"KIAD","Kempegowda International Airport Station","SBC","SWR","YNK-KQZ","Ghouse Khan","South","Vikram gahanloiya","HG-3","upto05Lakhs","upto01Lakhs","4101","","1","HL","","","","164","238","2391","505",""
"KTCR","Kotacharu","SBC","SWR","HUP Section","G Kiran Kumar","North","Harshit Gupta","HG-3","upto05Lakhs","upto01Lakhs","1","","1","RL","","","","701","1970","87486","3935",""
"MZV","Maralahalli","SBC","SWR","BWT Section","R Murali","East","Subham Sharma","HG-3","upto05Lakhs","upto01Lakhs","2055","","","RL","","","","40","125","1338","219",""
"NDY","Nandi Halt","SBC","SWR","YNK-KQZ","Ghouse Khan","South","Vikram gahanloiya","HG-3","upto05Lakhs","upto01Lakhs","2819","","1","ML","","","","1","3","21","26",""
"NXH","NIDAGHATTA HALT","SBC","SWR","MYS Section","Shashidhar","West","Sanchit Srivatsava","HG-3","upto05Lakhs","upto01Lakhs","4002","1, 2","2","HL","","","","324","1219","7946","1999",""
