"SL NO.","UNIT NO.","TYPE OF UNIT","STATION","STATION CATEGORY","old category","PF NO","PEGGED LOCATION","RESERVATION CATEGORY","TYPE OF ALLOTMENT","NAME OF LICENSEE","LICENSE FEE","CONTRACT from","CONTRACT to","LICENSE FEE ","UNIT STATUS"
"1","CS-01","CATERING","SBC","NSG-1","A1","1","Near lift, between Pillar No.5 & 6 Prime Area","GMU","E-TENDER","Madhuveer Caterers","?1,305,999","20-01-2024","19-01-2029","19-01-2027","Operational"
"2","CS-02","CATERING","SBC","NSG-1","A1","1","Between pillar no.16 and 17, near exit gate - Prime Area","GMU (W)","E-TENDER","Lavanya Caterers","?1,357,777","","","","LOA issued, Yet to Commence"
"3","CS-03","CATERING","SBC","NSG-1","A1","2&3","Near Pillar No. 5, Prime Area","GMU (W)","E-TENDER","Madhuveer Caterers","?909,999","09-12-2025","08-12-2030","08-12-2026","Operational"
"4","CS-04","CATERING","SBC","NSG-1","A1","2&3","Between old FOB and CIB","OBC (W)","E-AUCTION","Mehnaz Aquil","?1,560,000","23-07-2025","22-07-2030","22-04-2026","Operational"
"5","CS-05","CATERING","SBC","NSG-1","A1","2&3","Between Pillar no. 17 & 18 - Prime Area","GMU","E-TENDER","Shiv and Sons","?1,175,380","13-06-2025","12-06-2030","12-06-2026","Operational"
"6","CS-06","CATERING","SBC","NSG-1","A1","4","Near Escalator, Between pillar no. 6 & 7","GMU","E-TENDER","Parthaveer Caterers","?1,503,786","21-12-2024","20-12-2029","20-12-2026","Operational"
"7","CS-07","CATERING","SBC","NSG-1","A1","4","Between pillar no 22 & 23","GMU","E-TENDER","Parthaveer Caterers","?828,282","05-03-2025","04-03-2030","04-03-2026","Operational"
"8","CS-08","CATERING","SBC","NSG-1","A1","5","Between pillar no 17 & 18","GMU","E-TENDER","","","","","","Tender under Finalisation"
"9","CS-09","CATERING","SBC","NSG-1","A1","5","Beside FOB, Between pillar no. 29 & 30","GMU","E-TENDER","","","","","","Tender under Finalisation"
"10","CS-10","CATERING","SBC","NSG-1","A1","5","Near Pillar no. 34- Prime Area","GMU","E-TENDER","Sopan Restaurant","?1,651,900","","","","LOA issued, Yet to Commence"
"11","CS-11","CATERING","SBC","NSG-1","A1","6","Beside CTTI Squad Office under Station Building","ST","E-AUCTION","Hemlata","?2,171,254","12-11-2024","11-11-2029","11-05-2026","Operational"
"12","CS-12","CATERING","SBC","NSG-1","A1","5","Between pillar no. 38 & 39 - Prime area","GMU","E-TENDER","Parthaveer Caterers","?1,703,786","23-11-2024","22-11-2029","22-11-2026","Operational"
"13","CS-13","CATERING","SBC","NSG-1","A1","7&8","Near pillar no.25 - Prime Area","GMU","E-TENDER","","","","","","Tender under Finalisation"
"14","CS-14","CATERING","SBC","NSG-1","A1","7&8","Between pillar no. 30 and escalator - Prime Area","GMU","E-TENDER","Azhar Ahmed K","?3,155,999","04-06-2025","03-06-2030","03-06-2026","Operational"
"15","CS-15","CATERING","SBC","NSG-1","A1","9&10","Between pillar no 46 & 47.","BPL","E-AUCTION","Saritha S","?2,588,111","13-02-2024","12-02-2029","12-05-2026","Operational"
"16","CS-16","CATERING","SBC","NSG-1","A1","9&10","Between pillar no. 26 and 27 - Prime area","GMU","E-TENDER","Tamil Caterers","?2,700,011","13-12-2024","12-12-2029","12-12-2027","Operational"
"17","FS-01","CATERING","SBC","NSG-1","A1","Con (2E)","Main Entry Concourse","GMU","E-TENDER","Samreen Ahmed Catering Services","?1,122,000","01-01-2026","31-12-2030","31-12-2026","Operational"
"18","CS-120","CATERING","SBC","NSG-1","A1","Con","Front Entry Circulating Area","GMU (W)","E-TENDER","Amber Foods","?2,655,555","01-01-2026","31-12-2030","31-12-2026","Operational"
"19","CS-121","CATERING","SBC","NSG-1","A1","Con","Front Entry Circulating Area","GMU","E-TENDER","Hemant Kumar Shukla","?2,655,555","02-01-2026","01-01-2031","01-01-2027","Operational"
