"","Summary of Sanctioned PH-53 works (as on 20/06/26) Works Pending with","Total PIDs Sanctioned","Works Completed Pending for CR/FCC/Bill Process","Tender to be called","Tender under finalization","Work in Progress","Recommended for Deletion","Column 1","","","Progress of PH-53 Sanctioned Works year wise
 Sanctioned works in IRPSM ","","","","","","","","","","","",""
"","Sr.DEN/E/SBC","18","12","1","1","4","","","","","Year","","","","","","","","","","","",""
"","Sr.DEN/W/SBC","34","9","1","3","21","","","","","","","","","","","","","","","","",""
"","Sr.DEN/S/SBC","15","6","2","0","7","","","","","2015-16","1","1","0","0","","Sanctioned works Umbrella work wise","","","","","",""
"","Sr.DEN/N/SBC","36","22","2","0","12","","","","","2017-18","1","1","0","0","","Umbrella Year","","Sanctioned works","Completed Works","WIP/LOA Issued","Works under Tender ",""
"","Sr.DSTE/SBC","3","0","1","0","2","","","","","2018-19","15","15","0","0","","2021-22","","","","","",""
"","Divisional Works","9","4","0","1","4","1 (OSOP) Pending with RB for closure","","","","2019-20","2","2","0","0","","2022-23","","","","","",""
"","Dy.CE/GSU/SBC","24","1","0","0","23","","","","","2021-22","17","16","1","0","","2023-24","13","","","","",""
"","CN/BNC","5","0","1","0","4","","","","","2022-23","19","12","7","0","","2024-25","7","","","","",""
"","Sr.DCM/SBC","2","0","0","0","2","","","","","2023-24","48","7","41","0","","2025-26","5","","","","",""
"","HQ/RLDA","4","0","0","0","4","","","","","2024-25","22","0","22","0","","","","","","","",""
"","Total Works","150","54","8","5","83","","","","","2025-26","17","0","9","8","","","","","","","",""
"","","","","","","","","","","","2026-27","8","0","3","5","","","","","","","",""
"","","","","","","","","","","","Total Works","150","54","83","13","","","","","","","",""
"","Works in IRPSM as on 01/07/2026 : 150","","","","","","","","","","","","","","150","","","","","","","",""
"","Work Deleted in Mar-25 = 1 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Apr-25 = 0 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in May-25 = 5 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in June-25 = 2 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Aug-25 = 2 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Sep-25 = 1 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Oct-25 = 2 works","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Nov-25 = 1 work","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Dec-25 = 1 work","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in Jan-26 = 1 work","","","","","","","","","","","","","","","","","","","","","",""
"","Work Deleted in May-26 = 4 work","","","","","","","","","","","","","","","","","","","","","",""
"","Capex Expenditure 2025-26","","","","","","","","","","","","","","","","","","","","","",""
"","Revised Budget Grant as on 16.01.26 = 143.47 Cr.","","","","","","","","","","","","","","","","","","","","","",""
"","Expenditure up to 23/03/2026 = 136.58 Cr.","","","","","","","","","","","","","","","","","","","","","",""
"","Expenditure in Feb-26 = 12.09 Cr","","","","","","","","","","","","","","","","","","","","","",""
"","Expenditure in Mar-26 = 3.62 Cr","","","","","","","","","","","","","","","","","","","","","",""
"","Div= 47.16 Cr. GSU= 89.42 Cr.","","","","","","","","","","","","","","","","","","","","","",""
"","Capex Booked % = 95.20 % ","","","","","","","","","","","","","","","","","","","","","",""
"","Capex Expenditure 2026-27 (Position as on 24.06.26)","","","","","","","","","","","","","","","","","","","","","",""
"","Budget Grant as on 10.04.26 = 125.16 Cr.","","","","","","","","","","","","","","","","","","","","","",""
"","Expenditure up to 16/06/2026 = 33.02 Cr.","","","","","","","","","","","","","","","","","","","","","",""
"","Expenditure in MAY-26 = 10.66 Cr","","","","","","","","","","","","","","","","","","","","","",""
"","Expenditure in JUNE-26 = 7.23 Cr","","","","","","","","","","","","","","","","","","","","","",""
"","Div= 30.67 Cr. GSU= 2.34 Cr.","","","","","","","","","","","","","","","","","","","","","",""
"","Capex Booked % = 26.39 % ","","","","","","","","","","","","","","","","","","","","","",""
