"bb ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sanctioned works as on 09/06/2026","","","","","150","","","","","","","","","","","","","","","","","","","","","","",""
"","Works Deleted  up to  09/06/2026","","","","","48","","","","","","","","","","","","","","","","","","","","","","",""
"","Works Recommended for Deletion","","","","","01 (OSOP) with RB","","","","","","","","","","","","","","","","","","","","","","",""
"","PROJECTID","Year of Sanction","Year UB Works","Status","Date of sanction","Short Name of Work","Block Section Station","ALLOCATION","","","","","ENGG. REMARKS (as on 06.08.24)","IF UB?","PARENT WORK","Section","Anticipated Expenditure for Revised Grant
 Jan 2025 - Mar2025","Remarks","Column 29","Column 1","Column 2","Column 3","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10"
"126","14.01.53.25.3.00.001","2025-2026","UB 2024-25","Work in Progress","19/06/2025","Provision of Quick coach watering system for all 6 platforms at BWT station .","Stn: BWT","Cap","25119","0","0","0.00","","","Setting up of quick watering arrangements at stations (Umbrella Work 2024-25)","East","","NIT opened on 24/09/2025, LOA Issued on 19/11/25. Work to be started.","","","","","","","","","","",""
"127","14.00.53.24.1.00.003","2025-2026","UB 2024-25","Work in Progress","20/06/2025","Construction of FOB with stairs with one lift & Provision of HL platform at PF No.1 at KIAT station.","Stn: KIAT","Cap","57027","0","0","0.00","","","Provision of foot over bridges / high level platforms at stations (Umbrella Work 2024-25)","North","","LOA issued on 30/01/26, GAD Under Approval with HQ","","","","","","","","","","",""
"128","14.01.53.25.3.00.003","2025-2026","UB 2024-25","Work in Progress","20/06/2025","Provision of Lifts in SBC division under Amrith Bharath Scheme (Additional 10 Nos.)","ABSS","Cap","25664","0","0","0.00","","","Provision of minimum essential amenities and Divyangjan facilities at stations (Umbrella Work 2024-25)","GSU","","PO Issued","","","","","","","","","","",""
"129","14.01.53.25.3.50.004","2025-2026","UB 2024-25","Work in Progress","08.08.2025","Proposal for the Provision of CCTV Cameras at 9 Goods Shed over SBC Division.
(NMGA, BWT, DKN, MAD, MYA, SET, DBU, KDAG & PKD)","Stn: NMGA, BWT, DKN, MAD, MYA, SET, DBU, KDAG & PKD","Cap","14601","0","0","0.00","","","Provision of parcel & goods shed related facilities on zonal Railways (Umbrella Work 2024-25)","Sr.DSTE","#REF!","Retender opened on 19.02.26, LOA issued on 16.03.26, installation of CCTV at NDV started on 25.05.26, other stations will follow. ","","","","","","","","","","",""
"130","14.00.53.24.1.00.002","2025-2026","UB 2024-25","Work in Progress","15/10/25","Consultancy study by RITES for Rush Management plan and Passengers holding area of 3 stations of SWR - SBC , YPR & SMVB","Stn: SBC , KJM, YPR & SMVB","Cap","14302","0","0","","","","Upgradation of stations (Umbrella Work 2024-25)","HQ","","LOA Issued on 04-11-2025","","","","","","","","","","",""
"131","14.01.53.25.3.50.006","2025-2026","UB 2024-25","Works under Tender Process","11/11/2025","Improvements to Divyangjan facilities at TCL, KSM, BSM, GDP, MAR, PU, COL, OGM, CHU, KQZ, SVS & CMY Stations","Stn: TCL, KSM, BSM, GDP, MAR, PU, COL, OGM, CHU, KQZ, SVS & CMY","Cap","14007","0","0","","","","Provision of minimum essential amenities and Divyangjan facilities at stations (Umbrella Work 2024-25)","East","","Detailed estimate sanctioned on 23.12.25. 
Tender called on 16.04.2026 & opened on 11.05.2026, under finalisation.","","","","","","","","","","",""
"132","14.01.53.25.3.50.009","2025-2026","UB 2024-25","Work in Progress","16/12/2025","Extension of PF-1 and PF-2 for a length of 150 meters and 5 metres width at KNDV Station.","Stn: KNDV","Cap","16516","0","","","","","Provision of foot over bridges / high level platforms at stations (Umbrella Work 2024-25)","West","","Detailed estimate sanctioned. Tender opened on 26.02.26. LOA Issued on 17.04.2026","","","","","","","","","","",""
"133","14.01.53.25.3.50.010","2025-2026","UB 2024-25","Work in Progress","18/12/2025","Proposal for installation of five-line Two Line and Single-line electronic train information Boards at 18 Railway Stations.","Division","Cap","98483","0","","","","","Minimum essential amenities - Telecom, expansion of information system to facilitate Divyangjan and other passenger amenities items (Umbrella Work 2024-25)","","","Tender floated on 09/03/26 opened on 31/03/26. LOA issued on 01/06/26","","","","","","","","","","",""
"134","14.01.53.25.3.50.007","2025-2026","UB 2025-26","Works under Tender Process","18/11/2025","Provision of two Lifts at Gowribidanur (GBD) Railway Station.","Stn: GBD","Cap","10054","0","0","","","","Provision of lifts at stations (Sugamya Bharat Abhiyan) (Phase-III) (Umbrella work 2025-26)","North","","Engg: Tender opened on 19.02.26, LOA issued on 25.0526.
Elec: Indent forwarded to HQ on 18.06.2026 duly providing remarks of CEGE/SWR observation. ","","","","","","","","","","",""
